날짜,Tech_Score,Market_Score,Risk_Score,종가,거래량,주가변동
2025-12-24,0.1285714285714285,0.1,-0.1428571428571428,110562.5390625,12492939,-0.00358742197135431
2025-12-26,0.151639344262295,0.7622950819672131,-0.0327868852459016,116434.0,34018174,0.05310533737092382
2025-12-29,0.0737179487179487,0.25,-0.0128205128205128,119500.0,19676004,0.026332514557603437
2025-12-30,0.0512820512820512,0.1858974358974359,-0.0064102564102564,119900.0,19746349,0.0033472803347280866
2026-01-02,0.445054945054945,0.2472527472527472,0.0384615384615384,128500.0,30463279,0.07172643869891582
2026-01-05,0.0774647887323943,0.3169014084507042,0.0211267605633802,138100.0,42863376,0.07470817120622564
2026-01-06,0.1032608695652173,0.3967391304347826,-0.0217391304347826,138900.0,45321341,0.005792903692976026
2026-01-07,0.1318181818181818,0.3545454545454545,-0.0409090909090909,141000.0,46317413,0.015118790496760237
2026-01-08,0.1797752808988764,0.3258426966292135,-0.0140449438202247,138800.0,41449329,-0.015602836879432647
2026-01-09,0.1147540983606557,0.2459016393442623,-0.0614754098360655,139000.0,29520566,0.0014409221902016434
2026-01-12,0.1416666666666666,0.2083333333333333,-0.0416666666666666,138800.0,26271134,-0.0014388489208633226
2026-01-13,0.1071428571428571,0.2083333333333333,0.0595238095238095,137600.0,22384699,-0.008645533141210415
2026-01-14,0.1971153846153846,0.3653846153846153,0.0096153846153846,140300.0,18444394,0.019622093023255793
2026-01-15,0.1595744680851064,0.2446808510638297,-0.0425531914893617,143900.0,24701126,0.02565930149679252
2026-01-16,0.119047619047619,0.2738095238095238,0.0059523809523809,148900.0,30000219,0.0347463516330786
2026-01-19,0.1631944444444444,0.0590277777777777,-0.0902777777777777,149300.0,22762497,0.002686366689053088
2026-01-20,0.0416666666666666,-0.0972222222222222,0.0,145200.0,24059218,-0.02746148693904893
2026-01-21,0.1538461538461538,0.1025641025641025,-0.1025641025641025,149500.0,31703610,0.029614325068870517
2026-01-22,0.0961538461538461,0.2051282051282051,-0.0512820512820512,152300.0,32073624,0.0187290969899665
2026-01-23,0.1590909090909091,0.1666666666666666,0.0303030303030303,152100.0,25407497,-0.0013131976362442677
2026-01-26,0.2039473684210526,0.1776315789473684,0.0,152100.0,20561689,0.0
2026-01-27,0.0909090909090909,0.2424242424242424,0.0,159500.0,29423670,0.048652202498356445
2026-01-28,0.1622807017543859,0.1929824561403508,-0.0175438596491228,162400.0,29456431,0.018181818181818077
2026-01-29,0.1355421686746988,0.2108433734939759,0.0060240963855421,160700.0,36087223,-0.010467980295566504
2026-01-30,0.1762820512820513,0.1794871794871795,0.0448717948717948,160500.0,40557267,-0.001244555071561959
2026-02-02,0.1470588235294117,0.0,0.0147058823529411,150400.0,39748369,-0.06292834890965737
2026-02-03,0.1847826086956521,0.1956521739130435,0.0434782608695652,167500.0,36529813,0.11369680851063824
2026-02-04,0.1209677419354838,0.4112903225806452,0.0,169100.0,29943042,0.009552238805970115
2026-02-05,0.1756756756756756,0.1351351351351351,-0.0675675675675675,159300.0,38435228,-0.05795387344766412
2026-02-06,0.141025641025641,0.0256410256410256,-0.0256410256410256,158600.0,36358081,-0.00439422473320783
2026-02-09,0.2948717948717949,0.5128205128205128,0.0641025641025641,166400.0,25098971,0.049180327868852514
2026-02-10,0.1285714285714285,0.3857142857142857,0.0714285714285714,165800.0,19369566,-0.0036057692307692735
2026-02-11,0.4729729729729729,0.054054054054054,0.1216216216216216,167800.0,22760242,0.012062726176115701
2026-02-12,0.6401515151515151,0.6136363636363636,0.0151515151515151,178600.0,41296011,0.06436233611442188
2026-02-13,0.1524390243902439,0.1341463414634146,-0.024390243902439,181200.0,34454192,0.014557670772676445
2026-02-19,0.15234375,0.609375,-0.03125,190000.0,27049388,0.04856512141280356
2026-02-20,0.1274509803921568,0.2450980392156862,0.0196078431372549,190100.0,24213880,0.000526315789473708
2026-02-23,0.171875,0.34375,-0.109375,193000.0,26364684,0.015255128879537061
2026-02-24,0.0677966101694915,0.576271186440678,-0.0169491525423728,200000.0,28060617,0.03626943005181338
2026-02-25,0.225,0.175,-0.2,203500.0,27730565,0.01750000000000007
